Ref,Val,Package,PosX,PosY,Rot,Side
"CX23","470nF","C_1210_3225Metric",89.800000,34.100000,90.000000,bottom
"CX24","470nF","C_1210_3225Metric",87.000000,34.125000,90.000000,bottom
"CX25","470nF","C_1210_3225Metric",84.200000,34.125000,90.000000,bottom
"CX26","470nF","C_1210_3225Metric",81.400000,34.125000,90.000000,bottom
"CX28","470nF","C_1210_3225Metric",92.600000,34.125000,90.000000,bottom
"CX43","470nF","C_1210_3225Metric",53.700000,29.200000,180.000000,bottom
"CX45","470nF","C_1210_3225Metric",27.700000,29.200000,180.000000,bottom
"CX47","470nF","C_1210_3225Metric",7.200000,37.200000,0.000000,bottom
"CX51","470nF","C_1210_3225Metric",2.700000,28.700000,180.000000,bottom
